"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Les frames nécessitent un attribut title unique","0","0,00%","1",""
"Les frames doivent être testés avec axe-core","0","0,00%","1",""
"Les frames avec du contenu pouvant recevoir le focus ne doivent pas utiliser tabindex=-1","0","0,00%","1",""
"Une page doit contenir <title>","0","0,00%","1",""
"Une page doit contenir <h1>","0","0,00%","1",""
"Les niveaux d'en-tête ne doivent s'incrémenter que de un","0","0,00%","1",""
"Les en-têtes ne doivent pas être vides","0","0,00%","1",""
"Le zoom et la mise à l'échelle du meta viewport doivent être autorisés jusqu'à 500 %","0","0,00%","1",""
"Le zoom et la mise à l'échelle du meta viewport sont désactivés","0","0,00%","1",""
"La valeur de l'attribut HTML lang doit être valide","0","0,00%","1",""
"Un élément HTML nécessite un attribut lang","0","0,00%","1",""
"Les valeurs des attributs lang HTML et XML doivent correspondre","0","0,00%","1",""
"L'attribut lang nécessite une valeur valide","0","0,00%","1",""
"Les actualisations différées meta refresh ne sont pas autorisées","0","0,00%","1",""
"Les actualisations temporisées meta refresh ne sont pas autorisées","0","0,00%","1",""
"Les boutons sous forme d'image nécessitent un texte alternatif","0","0,00%","1",""
"Les images nécessitent un texte alternatif","0","0,00%","1",""
"Les éléments <object> nécessitent un texte alternatif","0","0,00%","1",""
"Les éléments <area> actifs nécessitent un texte alternatif","0","0,00%","1",""
"Le texte alternatif ne doit pas être répété en tant que texte","0","0,00%","1",""
"Les éléments marqués comme role=img nécessitent un texte alternatif","0","0,00%","1",""
"Les images et visuels SVG nécessitent du texte accessible","0","0,00%","1",""
"Les image-maps côté serveur ne doivent pas être utilisées","0","0,00%","1",""
"Les éléments <video> nécessitent <track> pour les sous-titres","0","0,00%","1",""
"Les éléments <video> ou <audio> ne doivent pas être lus automatiquement","0","0,00%","1",""
"Les boutons nécessitent du texte perceptible","0","0,00%","1",""
"Les boutons input nécessitent du texte perceptible","0","0,00%","1",""
"L'espacement du texte inline doit être ajustable","0","0,00%","1",""
"Les liens doivent être distincts","0","0,00%","1",""
"Les liens nécessitent du texte perceptible","0","0,00%","1",""
"Liens présentant des noms accessibles identiques","0","0,00%","1",""
"L'élément select nécessite un nom accessible","0","0,00%","1",""
"Les éléments summary nécessitent du texte perceptible","0","0,00%","1",""
"L'élément obsolète <marquee> ne doit pas être utilisé","0","0,00%","1",""
"Les éléments <blink> sont obsolètes et ne doivent pas être utilisés","0","0,00%","1",""
"Le texte nécessite une couleur avec un rapport de contraste plus élevé","0","0,00%","1",""
"Le texte nécessite une couleur plus contrastée par rapport à l'arrière-plan","0","0,00%","1",""
"Les zones cibles tactiles nécessitent une taille et un espacement suffisants","0","0,00%","1",""
"Les commandes interactives ne doivent pas être imbriquées","0","0,00%","1",""
"Les éléments d'une liste doivent figurer dans un élément list","0","0,00%","1",""
"Les listes doivent uniquement comporter des éléments de contenu <li>","0","0,00%","1",""
"<dl> doit uniquement comporter des groupes <dt> et <dd> ordonnés","0","0,00%","1",""
"Les éléments <dt> et <dd> doivent être contenus dans <dl>","0","0,00%","1",""
"L'élément <th> nécessite des cellules de données associées","0","0,00%","1",""
"L'attribut d'en-tête de tableau doit faire référence à une cellule dans le même tableau","0","0,00%","1",""
"Les en-têtes de tableau nécessitent du texte perceptible","0","0,00%","1",""
"Tableau avec résumé et légende identiques","0","0,00%","1",""
"L'attribut scope doit être utilisé correctement sur les tableaux","0","0,00%","1",""
""
"Recherche personnalisée"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
""
"Extraction personnalisée"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
""
"JavaScript personnalisé"
"Tous","21","100,00%","21","Pages HTML internes avec réponse 2xx"
""
"Google Analytics"
"Tous","1","100,00%","1","URL internes avec données Google Analytics associées"
"Sessions supérieures à 0","0","0,00%","1","URL internes avec données Google Analytics associées"
"Taux de rebond supérieur à 70 %.","0","0,00%","1","URL internes avec données Google Analytics associées"
"Aucune donnée GA","0","0,00%","1","URL internes avec données Google Analytics associées"
"Non indexable avec les données GA","0","0,00%","1","URL internes avec données Google Analytics associées"
"URL orphelines","0","0,00%","1","URL internes avec données Google Analytics associées"
""
"Google Search Console"
"Tous","1","100,00%","1","URL internes avec données Google Search Console associées"
"Clics au-dessus de 0","0","0,00%","1","URL internes avec données Google Search Console associées"
"Aucune donnée Search Analytics","0","0,00%","1","URL internes avec données Google Search Console associées"
"Non indexable avec les données Search Analytics","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL orphelines","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL non indexée par Google","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL indexable non indexée","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL sur Google, mais présente des problèmes","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL canonique déclarée non sélectionnée","0","0,00%","1","URL internes avec données Google Search Console associées"
"Page non adaptée aux mobiles","0","0,00%","1","URL internes avec données Google Search Console associées"
"URL AMP non valide","0","0,00%","1","URL internes avec données Google Search Console associées"
"Résultat enrichi non valide","0","0,00%","1","URL internes avec données Google Search Console associées"
""
"Validation"
"Tous","21","100,00%","21","URL internes avec code de réponse 2xx"
"Éléments HTML non valides dans <head>","0","0,00%","21","URL internes avec code de réponse 2xx"
"Élément <body> placé avant le <html>","0","0,00%","21","URL internes avec code de réponse 2xx"
"<head> pas la première valeur de l’élément <html>","0","0,00%","21","URL internes avec code de réponse 2xx"
"Balise <head> manquante","0","0,00%","21","URL internes avec code de réponse 2xx"
"Plusieurs balises <head>","0","0,00%","21","URL internes avec code de réponse 2xx"
"Balise <body> manquante","0","0,00%","21","URL internes avec code de réponse 2xx"
"Plusieurs balises <body>","0","0,00%","21","URL internes avec code de réponse 2xx"
"Document HTML supérieur à 15 Mo","0","0,00%","21","URL internes avec code de réponse 2xx"
"Ressource de plus de 15 Mo","0","0,00%","21","URL internes avec code de réponse 2xx"
"Empreinte carbone élevée","0","0,00%","21","URL internes avec code de réponse 2xx"
""
"Métrique des liens"
"Tous","1","100,00%","1","Pages HTML/PDF internes"
""
"IA"
"Tous","21","100,00%","21","URL HTML internes avec code de réponse 2xx"
""
""
"Profondeur (clics à partir de l'URL de départ)"
"0","1","100,00%","1","Internal HTML pages with 2xx response"
"1","0","0,00%","1","Internal HTML pages with 2xx response"
"2","0","0,00%","1","Internal HTML pages with 2xx response"
"3","0","0,00%","1","Internal HTML pages with 2xx response"
"4","0","0,00%","1","Internal HTML pages with 2xx response"
"5","0","0,00%","1","Internal HTML pages with 2xx response"
"6","0","0,00%","1","Internal HTML pages with 2xx response"
"7","0","0,00%","1","Internal HTML pages with 2xx response"
"8","0","0,00%","1","Internal HTML pages with 2xx response"
"9","0","0,00%","1","Internal HTML pages with 2xx response"
"10+","0","0,00%","1","Internal HTML pages with 2xx response"
""
"Liens entrants (20 meilleures URL)"
"https://nina-carducci.github.io/","1","100,00%","1","Internal HTML pages with 2xx response"
""
"Temps de réponse (secondes)","URL","% du total"
"1","21","100,00%"
