"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Plus de 115 caractères","0","0,00%","21","URL internes"
""
"Title des pages"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Manquant","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Doublon","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 60 caractères","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Moins de 30 caractères","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 561 pixels","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Moins de 200 pixels","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Identique à H1","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Multiple","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"En dehors du <head>","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"Meta description"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Manquant","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Doublon","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 155 caractères","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Moins de 70 caractères","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 985 pixels","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Moins de 400 pixels","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Multiple","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"En dehors du <head>","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"Meta keywords"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Manquant","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Doublon","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Multiple","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"H1"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Manquant","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Doublon","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 70 caractères","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Multiple","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Texte alternatif dans H1","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Non séquentiel","1","100,00%","1","Pages HTML internes avec réponse 2xx"
""
"H2"
"Tous","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Manquant","1","100,00%","1","Pages HTML internes avec réponse 2xx"
"Doublon","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Plus de 70 caractères","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Multiple","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Non séquentiel","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"Contenu"
"Tous","1","100,00%","1","Pages HTML internes avec code de réponse 2xx"
"Doublons exacts","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Quasi-doublons","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Sémantiquement similaire","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Contenu à faible pertinence","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages à faible contenu","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages Soft 404","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Erreurs d'orthographe","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Erreurs de grammaire","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Lisibilité difficile","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Lisibilité très difficile","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Texte provisoire Lorem Ipsum","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
""
"Images"
"Tous","15","100,00%","15","Images avec réponse 2xx"
"Environ 100 Ko","14","93,33%","15","Images avec réponse 2xx"
"Texte Alt manquant","1","6,67%","15","Images avec réponse 2xx"
"Attribut Alt manquant","11","73,33%","15","Images avec réponse 2xx"
"Texte Alt de plus de 100 caractères","0","0,00%","15","Images avec réponse 2xx"
"Images d’arrière-plan","0","0,00%","15","Images avec réponse 2xx"
"Images de taille incorrecte","0","0,00%","15","Images avec réponse 2xx"
"Attributs de taille manquants","15","100,00%","15","Images avec réponse 2xx"
""
"Versions canoniques"
"Tous","1","100,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Contient une version canonique","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Auto-référencement","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Canonisé","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Manquant","1","100,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Multiple","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
"Plusieurs valeurs en conflit","0","0,00%","1","Pages internes HTML ou PDF avec réponse 2xx"
